INFO 2025-03-06 18:39:58,336 basehttp "POST /auth/logout/ HTTP/1.1" 302 0
WARNING 2025-03-06 18:39:58,339 log Not Found: /auth/logout/accounts/api/login/
WARNING 2025-03-06 18:39:58,339 basehttp "GET /auth/logout/accounts/api/login/ HTTP/1.1" 404 10697
INFO 2025-03-06 18:41:56,941 basehttp "GET /auth/google/login/token/ HTTP/1.1" 200 1321
INFO 2025-03-06 18:42:35,526 basehttp "GET /auth/google/login/callback/ HTTP/1.1" 200 1111
INFO 2025-03-06 18:42:43,489 basehttp "GET /auth/login/ HTTP/1.1" 200 2521
INFO 2025-03-06 18:42:54,906 basehttp "GET /auth/google/login/?process=login HTTP/1.1" 302 0
INFO 2025-03-06 18:55:18,942 basehttp "GET /auth/login/ HTTP/1.1" 200 2521
INFO 2025-03-06 18:55:38,227 basehttp "GET /auth/google/login/callback/ HTTP/1.1" 200 1111
INFO 2025-03-06 18:55:50,874 basehttp "GET /auth/signup/ HTTP/1.1" 200 2976
INFO 2025-03-06 18:56:00,755 basehttp "GET /auth/login/ HTTP/1.1" 200 2521
INFO 2025-03-06 18:56:06,491 basehttp "GET /auth/google/login/?process=login HTTP/1.1" 302 0
INFO 2025-03-06 18:57:24,296 autoreload D:\shivam\LUXSH-MAK-TD\AWOL\UAS\UAS\settings.py changed, reloading.
INFO 2025-03-06 18:57:25,957 autoreload Watching for file changes with StatReloader
INFO 2025-03-06 18:57:29,842 basehttp "GET /auth/login/ HTTP/1.1" 200 2521
INFO 2025-03-06 18:57:31,120 basehttp "GET /auth/google/login/?process=login HTTP/1.1" 302 0
INFO 2025-03-06 18:59:35,515 basehttp "GET /auth/login/ HTTP/1.1" 200 2521
INFO 2025-03-06 18:59:43,211 basehttp "GET /auth/google/login/ HTTP/1.1" 302 0
INFO 2025-03-06 18:59:48,779 basehttp "GET /auth/login/ HTTP/1.1" 200 2521
INFO 2025-03-06 19:00:36,209 basehttp "GET /auth/google/login/ HTTP/1.1" 302 0
INFO 2025-03-06 19:02:12,554 autoreload Watching for file changes with StatReloader
WARNING 2025-03-06 19:02:25,575 log Not Found: /
WARNING 2025-03-06 19:02:25,576 basehttp "GET / HTTP/1.1" 404 3264
INFO 2025-03-06 19:02:35,893 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-03-06 19:02:36,075 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
INFO 2025-03-06 19:02:36,178 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-03-06 19:02:44,332 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-03-06 19:02:44,387 basehttp "GET /admin/ HTTP/1.1" 200 17608
INFO 2025-03-06 19:02:48,409 basehttp "GET /admin/socialaccount/socialaccount/ HTTP/1.1" 200 13994
INFO 2025-03-06 19:02:48,458 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-06 19:02:50,653 basehttp "GET /admin/socialaccount/socialtoken/ HTTP/1.1" 200 14977
INFO 2025-03-06 19:02:50,683 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-06 19:02:51,886 basehttp "GET /admin/socialaccount/socialapp/ HTTP/1.1" 200 14590
INFO 2025-03-06 19:02:51,911 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-06 19:02:53,194 basehttp "GET /admin/socialaccount/socialapp/1/change/ HTTP/1.1" 200 18659
INFO 2025-03-06 19:02:53,214 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-06 19:02:55,878 basehttp "GET /admin/socialaccount/socialaccount/add/ HTTP/1.1" 200 15960
INFO 2025-03-06 19:02:55,919 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-06 19:03:03,141 basehttp "GET /admin/socialaccount/socialtoken/add/ HTTP/1.1" 200 17399
INFO 2025-03-06 19:03:03,173 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-06 19:03:03,208 basehttp "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2025-03-06 19:03:03,208 basehttp "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
INFO 2025-03-06 19:03:03,251 basehttp "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-03-06 19:03:03,251 basehttp "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2025-03-06 19:03:10,823 basehttp "GET /admin/account/emailaddress/add/ HTTP/1.1" 200 15607
INFO 2025-03-06 19:03:10,862 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-06 19:03:14,335 basehttp "GET /admin/account/emailaddress/ HTTP/1.1" 200 16393
INFO 2025-03-06 19:03:14,368 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-06 19:03:22,141 basehttp "GET /auth/login/ HTTP/1.1" 302 0
WARNING 2025-03-06 19:03:22,143 log Not Found: /accounts/profile/
WARNING 2025-03-06 19:03:22,143 basehttp "GET /accounts/profile/ HTTP/1.1" 404 6858
INFO 2025-03-06 19:40:22,187 basehttp "GET /auth/google/login/ HTTP/1.1" 302 0
INFO 2025-03-06 23:44:51,121 autoreload Watching for file changes with StatReloader
INFO 2025-03-06 23:45:09,995 basehttp "GET /auth/google/login/ HTTP/1.1" 302 0
INFO 2025-03-06 23:46:19,564 basehttp "GET /auth/google/login/ HTTP/1.1" 302 0
INFO 2025-03-07 17:06:48,921 autoreload Watching for file changes with StatReloader
INFO 2025-03-07 17:07:06,343 basehttp "GET /auth/google/login/ HTTP/1.1" 302 0
INFO 2025-03-07 18:06:25,093 autoreload Watching for file changes with StatReloader
INFO 2025-03-07 18:06:34,080 basehttp "GET /admin/ HTTP/1.1" 200 17608
INFO 2025-03-07 18:07:10,052 basehttp "GET /admin/ HTTP/1.1" 200 17608
INFO 2025-03-07 18:07:11,001 basehttp "GET /admin/ HTTP/1.1" 200 17608
INFO 2025-03-07 18:07:15,183 basehttp "GET /admin/account/ HTTP/1.1" 200 5276
INFO 2025-03-07 18:07:16,337 basehttp "GET /admin/ HTTP/1.1" 200 17608
WARNING 2025-03-07 18:07:19,111 log Not Found: /
WARNING 2025-03-07 18:07:19,111 basehttp "GET / HTTP/1.1" 404 3264
INFO 2025-03-07 18:07:25,860 basehttp "GET /admin/ HTTP/1.1" 200 17608
INFO 2025-03-07 20:37:53,537 autoreload Watching for file changes with StatReloader
INFO 2025-03-07 20:37:56,806 basehttp "GET /admin/ HTTP/1.1" 200 18399
INFO 2025-03-07 20:38:40,118 basehttp "GET /admin/sites/site/add/ HTTP/1.1" 200 15034
INFO 2025-03-07 20:38:40,170 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 20:38:45,988 basehttp "GET /admin/socialaccount/socialapp/add/ HTTP/1.1" 200 20386
INFO 2025-03-07 20:38:46,025 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 20:38:46,119 basehttp "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-03-07 20:38:46,121 basehttp "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15502
INFO 2025-03-07 20:38:46,168 basehttp "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-03-07 20:38:46,172 basehttp "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
INFO 2025-03-07 20:38:46,175 basehttp "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2025-03-07 20:40:29,209 basehttp "POST /admin/socialaccount/socialapp/add/ HTTP/1.1" 302 0
INFO 2025-03-07 20:40:29,248 basehttp "GET /admin/socialaccount/socialapp/ HTTP/1.1" 200 15434
INFO 2025-03-07 20:40:29,287 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 20:40:34,215 basehttp "GET /admin/sites/site/ HTTP/1.1" 200 15654
INFO 2025-03-07 20:40:34,253 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 20:40:34,280 basehttp "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2025-03-07 20:40:37,016 basehttp "GET /admin/sites/site/ HTTP/1.1" 200 15654
INFO 2025-03-07 20:40:37,057 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 20:45:38,824 basehttp "GET /admin/sites/site/1/change/ HTTP/1.1" 200 15292
INFO 2025-03-07 20:45:38,854 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 20:50:38,938 basehttp "POST /admin/sites/site/1/change/ HTTP/1.1" 302 0
INFO 2025-03-07 20:50:38,958 basehttp "GET /admin/sites/site/ HTTP/1.1" 200 15877
INFO 2025-03-07 20:50:39,006 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2025-03-07 20:51:05,115 log Not Found: /
WARNING 2025-03-07 20:51:05,115 basehttp "GET / HTTP/1.1" 404 3264
INFO 2025-03-07 20:51:07,639 basehttp "GET /admin/ HTTP/1.1" 200 18351
INFO 2025-03-07 20:51:10,980 basehttp "GET /admin/socialaccount/socialapp/ HTTP/1.1" 200 15214
INFO 2025-03-07 20:51:11,024 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 20:51:11,988 basehttp "GET /admin/socialaccount/socialapp/1/change/ HTTP/1.1" 200 20755
INFO 2025-03-07 20:51:12,031 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 20:51:22,992 basehttp "GET /admin/accounts/user/ HTTP/1.1" 200 15696
INFO 2025-03-07 20:51:23,024 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 20:51:51,484 basehttp "GET /admin/socialaccount/socialapp/ HTTP/1.1" 200 15214
INFO 2025-03-07 20:51:51,517 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 20:51:52,731 basehttp "GET /admin/socialaccount/socialapp/1/change/ HTTP/1.1" 200 20755
INFO 2025-03-07 20:51:52,770 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 20:51:57,802 basehttp "POST /admin/socialaccount/socialapp/1/change/ HTTP/1.1" 302 0
INFO 2025-03-07 20:51:57,822 basehttp "GET /admin/socialaccount/socialapp/ HTTP/1.1" 200 15436
INFO 2025-03-07 20:51:57,863 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:42:09,036 autoreload Watching for file changes with StatReloader
INFO 2025-03-07 22:42:45,228 basehttp "GET /admin/ HTTP/1.1" 200 18328
INFO 2025-03-07 22:42:49,126 basehttp "GET /admin/accounts/userroles/ HTTP/1.1" 200 15290
INFO 2025-03-07 22:42:49,174 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:42:50,994 basehttp "GET /admin/accounts/userroles/2/change/ HTTP/1.1" 200 17606
INFO 2025-03-07 22:42:51,037 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:42:53,217 basehttp "GET /admin/accounts/userroles/ HTTP/1.1" 200 15290
INFO 2025-03-07 22:42:53,254 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:42:58,591 basehttp "GET /admin/accounts/role/ HTTP/1.1" 200 15455
